Escola,Endereco,Latitude,Longitude
EEFM SÃO FRANCISCO DE ASSIS – BOM JARDIM,"RUA NEREIDE 320 - BOM JARDIM, Fortaleza, Ceará, Brasil",,
EEFM FIGUEIREDO CORREIA,"RUA MARECHAL DEODORO 733 - BENFICA, Fortaleza, Ceará, Brasil",-3.7421644,-38.5355895
EEFM DOUTOR GENTIL BARREIRA,"RUA 202 - D s/n - CONJUNTO CEARA I, Fortaleza, Ceará, Brasil",-3.765656,-38.6081381
EEFM PROFESSOR HERMENEGILDO FIRMEZA,"RUA GABRIEL FIUZA 360 - VILA PERI, Fortaleza, Ceará, Brasil",-3.7866316,-38.5799231
EEFM MARECHAL HUMBERTO DE ALENCAR CASTELO BRANC,"RUA ALVARO FERNANDES 913 - MONTESE, Fortaleza, Ceará, Brasil",-3.764105,-38.5490034
EEFM DEPUTADO IRAPUAN CAVALCANTE PINHEIRO,"AVENIDA- E 305 - CONJUNTO ESPERANCA, Fortaleza, Ceará, Brasil",-3.8153005,-38.5879078
EEFM PROFESSOR JÁDER MOREIRA DE CARVALHO,"PROFA HELOISA FERREIRA LIMA 420 - SERRINHA, Fortaleza, Ceará, Brasil",-3.7845932,-38.5453796
COLÉGIO JENNY GOMES,"AVENIDA BORGES DE MELO 210 - AEROPORTO, Fortaleza, Ceará, Brasil",-3.7606078,-38.5211313
EEFM JOAQUIM ALVES,"RUA ESTADO DO RIO 955 - DEMOCRITO ROCHA, Fortaleza, Ceará, Brasil",-3.7590992,-38.5708395
EEFM PROFESSOR CORONEL JOSÉ AURÉLIO CÂMARA,"JORGE ACURCIO 655 - VILA UNIAO, Fortaleza, Ceará, Brasil",-3.766596,-38.5318106
EEM PROFESSOR JOSÉ MARIA CAMPOS DE OLIVEIRA,"RUA 820 S-N - CONJUNTO CEARA I, Fortaleza, Ceará, Brasil",-3.7678249,-38.6011895
EEEP JUAREZ TÁVORA,"RUA JOAQUIM BASTOS 747 - FATIMA, Fortaleza, Ceará, Brasil",-3.7516562,-38.5312856
EEFM PROFESSORA MARIA MARGARIDA DE CASTRO ALMEID,"AV. CONTORNO SUL 1230 - CONJUNTO ESPERANCA, Fortaleza, Ceará, Brasil",-3.8147057,-38.5915845
EEFM DOUTOR UBIRAJARA ÍNDIO DO CEARÁ,"RUA 751 SN - CONJUNTO CEARÁ, Fortaleza, Ceará, Brasil",-3.7730734,-38.6028467
EEFM PARQUE PRESIDENTE VARGAS,"AVENIDA: PENETRAÇÃO LESTE 815 - PRESIDENTE VARGAS, Fortaleza, Ceará, Brasil",,
EEFM MARIA THOMÁSIA,"RUA POLONIA 369 - MARAPONGA, Fortaleza, Ceará, Brasil",,
EEFM PROFESSORA ADÉLIA BRASIL FEIJÓ,"AV CONTORNO SUL 1540 - CONJUNTO ESPERANCA, Fortaleza, Ceará, Brasil",-3.8131996,-38.5941647
EEFM IRMÃO URBANO GONZALEZ RODRIGUEZ,"RUA CONEGO DE CASTRO 4055 - PARQUE SAO JOSE, Fortaleza, Ceará, Brasil",-3.8017022,-38.5885907
CAIC MARIA ALVES CARIOCA,"RUA SARGENTO BARBOSA 851 - GRANJA LISBOA, Fortaleza, Ceará, Brasil",-3.7787416,-38.6184796
EEFM SANTO AMARO,"RUA NOVA CONQUISTA 871 - PARQUE SANTO AMARO, Fortaleza, Ceará, Brasil",,
EEFM PROFESSOR MÁRIO SCHEMBERG,"RUA AMERICO ROCHA LIMA 835 - VILA MANOEL SATIRO, Fortaleza, Ceará, Brasil",,
EEM LICEU DO CONJUNTO CEARÁ,"RUA 1139 A 10 - CONJUNO CEARA, Fortaleza, Ceará, Brasil",,
EEFM SÃO FRANCISCO DE ASSIS – CANINDEZINHO,"RUA SÃO FELIPE 564 - CANINDEZINHO, Fortaleza, Ceará, Brasil",-3.8003735,-38.596348
EEFM POETA PATATIVA DO ASSARÉ,"DESCARTE BRAGA 4269 - GRANJA LISBOA, Fortaleza, Ceará, Brasil",,
EEFM MICHELSON NOBRE DA SILVA,"AVENIDA OSCAR ARARIPE 3037 - GRANJA LISBOA, Fortaleza, Ceará, Brasil",-3.7830185,-38.6260123
EEFM PAULO ELPÍDIO,"RUA PROFESSOR MANOEL DE CASTRO 1202 - JARDIM JATOBA, Fortaleza, Ceará, Brasil",,
EEEP DARCY RIBEIRO,"CONEGO DE CASTRO SN - CONJUNTO ESPERANCA, Fortaleza, Ceará, Brasil",-3.8100312,-38.5962579
EEEP LEONEL DE MOURA BRIZOLA,"AV: HOLANDA 1281 - JARDIM CEARENSE, Fortaleza, Ceará, Brasil",-3.8005691,-38.5605142
EEM SÃO JOÃO PIAMARTA,"AVENIDA AGUANAMBI 2479 - FATIMA, Fortaleza, Ceará, Brasil",-3.7592416,-38.5231979
EEFM SÃO JOSÉ,"RUA COMENDADOR GARCIA 2066 - PARQUE SAO JOSE, Fortaleza, Ceará, Brasil",-3.8002978,-38.589915
LICEU ESTADUAL PROFESSOR DOMINGOS BRASILEIRO,"RUA PLANALTINA SN - PLANALTO AYRTON SENNA, Fortaleza, Ceará, Brasil",-3.8284553,-38.567277
EEEP ÍCARO DE SOUSA MOREIRA,"RUA JOSE MARTINS 2246 - GRANJA LISBOA, Fortaleza, Ceará, Brasil",-3.7857861,-38.6102381
